searge,mcp,side,desc
field_192529_a,playerAdvancements,2,
field_192530_b,listeners,2,
field_192282_a,recipe,2,
field_192282_a,recipe,2,
field_192232_a,ID,2,
field_192233_b,listeners,2,
field_192232_a,ID,2,
field_192233_b,listeners,2,
field_192535_a,playerAdvancements,2,
field_192536_b,listeners,2,
field_192535_a,playerAdvancements,2,
field_192536_b,listeners,2,
field_192284_a,entity,2,
field_192284_a,entity,2,
field_193179_a,ID,2,
field_193180_b,listeners,2,
field_193179_a,ID,2,
field_193180_b,listeners,2,
field_193498_a,playerAdvancements,2,
field_193499_b,listeners,2,
field_193498_a,playerAdvancements,2,
field_193499_b,listeners,2,
field_193217_a,entity,2,
field_193217_a,entity,2,
field_193183_a,ID,2,
field_193184_b,listeners,2,
field_193183_a,ID,2,
field_193184_b,listeners,2,
field_193504_a,playerAdvancements,2,
field_193505_b,listeners,2,
field_193504_a,playerAdvancements,2,
field_193505_b,listeners,2,
field_192237_a,ID,2,
field_192238_b,listeners,2,
field_192237_a,ID,2,
field_192238_b,listeners,2,
field_192541_a,playerAdvancements,2,
field_192542_b,listeners,2,
field_192541_a,playerAdvancements,2,
field_192542_b,listeners,2,
field_192286_a,villager,2,
field_192287_b,item,2,
field_192286_a,villager,2,
field_192287_b,item,2,
field_192242_a,ID,2,
field_192243_b,listeners,2,
field_192242_a,ID,2,
field_192243_b,listeners,2,
field_192547_a,playerAdvancements,2,
field_192548_b,listeners,2,
field_192547_a,playerAdvancements,2,
field_192548_b,listeners,2,
field_192289_a,distance,2,
field_192289_a,distance,2,
field_193188_a,ID,2,
field_193189_b,listeners,2,
field_193188_a,ID,2,
field_193189_b,listeners,2,
field_193510_a,playerAdvancements,2,
field_193511_b,listeners,2,
field_193510_a,playerAdvancements,2,
field_193511_b,listeners,2,
field_193219_a,item,2,
field_193219_a,item,2,
field_71533_a,commandListener,2,
field_190796_b,COMMA_SPLITTER,2,
field_190797_c,EQUAL_SPLITTER,2,
field_71533_a,commandListener,2,
field_190796_b,COMMA_SPLITTER,2,
field_190797_c,EQUAL_SPLITTER,2,
field_190787_a,field_190787_a,2,
field_190787_a,field_190787_a,2,
field_190789_a,field_190789_a,2,
field_190790_b,field_190790_b,2,
field_190789_a,field_190789_a,2,
field_190790_b,field_190790_b,2,
field_179633_a,result,2,
field_179631_b,amount,2,
field_179632_c,isRelative,2,
field_179633_a,result,2,
field_179631_b,amount,2,
field_179632_c,isRelative,2,
field_147175_a,LOGGER,2,
field_71562_a,commandMap,2,
field_71561_b,commandSet,2,
field_147175_a,LOGGER,2,
field_71562_a,commandMap,2,
field_71561_b,commandSet,2,
field_193530_b,entries,2,
field_193530_b,entries,2,
field_193519_a,EMPTY,2,
field_193520_b,id,2,
field_193521_c,isValid,2,
field_193522_d,function,2,
field_193519_a,EMPTY,2,
field_193520_b,id,2,
field_193521_c,isValid,2,
field_193522_d,function,2,
field_193525_a,command,2,
field_193525_a,command,2,
field_193524_a,function,2,
field_193524_a,function,2,
field_193043_a,delegate,2,
field_194002_b,positionVector,2,
field_194003_c,position,2,
field_194004_d,permissionLevel,2,
field_194005_e,entity,2,
field_194006_f,sendCommandFeedback,2,
field_193043_a,delegate,2,
field_194002_b,positionVector,2,
field_194003_c,position,2,
field_194004_d,permissionLevel,2,
field_194005_e,entity,2,
field_194006_f,sendCommandFeedback,2,
field_179676_a,NUM_RESULT_TYPES,2,
field_179674_b,STRING_RESULT_TYPES,2,
field_179675_c,entitiesID,2,
field_179673_d,objectives,2,
field_179676_a,NUM_RESULT_TYPES,2,
field_179674_b,STRING_RESULT_TYPES,2,
field_179675_c,entitiesID,2,
field_179673_d,objectives,2,
field_181547_a,field_181547_a,2,
field_181548_b,field_181548_b,2,
field_181547_a,field_181547_a,2,
field_181548_b,field_181548_b,2,
SUCCESS_COUNT,SUCCESS_COUNT,2,
AFFECTED_BLOCKS,AFFECTED_BLOCKS,2,
AFFECTED_ENTITIES,AFFECTED_ENTITIES,2,
AFFECTED_ITEMS,AFFECTED_ITEMS,2,
QUERY_RESULT,QUERY_RESULT,2,
$VALUES,$VALUES,2,
field_179639_f,typeID,2,
field_179640_g,typeName,2,
SUCCESS_COUNT,SUCCESS_COUNT,2,
AFFECTED_BLOCKS,AFFECTED_BLOCKS,2,
AFFECTED_ENTITIES,AFFECTED_ENTITIES,2,
AFFECTED_ITEMS,AFFECTED_ITEMS,2,
QUERY_RESULT,QUERY_RESULT,2,
field_179639_f,typeID,2,
field_179640_g,typeName,2,
$VALUES,$VALUES,2,
field_82389_a,TOKEN_PATTERN,2,
field_190828_b,COMMA_SPLITTER,2,
field_190829_c,EQUAL_SPLITTER,2,
field_190830_d,VALID_ARGUMENTS,2,
field_190831_e,ARGUMENT_RANGE_MAX,2,
field_190832_f,ARGUMENT_RANGE_MIN,2,
field_190833_g,ARGUMENT_LEVEL_MAX,2,
field_190834_h,ARGUMENT_LEVEL_MIN,2,
field_190835_i,ARGUMENT_COORDINATE_X,2,
field_190836_j,ARGUMENT_COORDINATE_Y,2,
field_190837_k,ARGUMENT_COORDINATE_Z,2,
field_190838_l,ARGUMENT_DELTA_X,2,
field_190839_m,ARGUMENT_DELTA_Y,2,
field_190840_n,ARGUMENT_DELTA_Z,2,
field_190841_o,ARGUMENT_ROTX_MAX,2,
field_190842_p,ARGUMENT_ROTX_MIN,2,
field_190843_q,ARGUMENT_ROTY_MAX,2,
field_190844_r,ARGUMENT_ROTY_MIN,2,
field_190845_s,ARGUMENT_COUNT,2,
field_190846_t,ARGUMENT_MODE,2,
field_190847_u,ARGUMENT_TEAM_NAME,2,
field_190848_v,ARGUMENT_PLAYER_NAME,2,
field_190849_w,ARGUMENT_ENTITY_TYPE,2,
field_190850_x,ARGUMENT_ENTITY_TAG,2,
field_190851_y,IS_VALID_ARGUMENT,2,
field_179666_d,WORLD_BINDING_ARGS,2,
field_82389_a,TOKEN_PATTERN,2,
field_190828_b,COMMA_SPLITTER,2,
field_190829_c,EQUAL_SPLITTER,2,
field_190830_d,VALID_ARGUMENTS,2,
field_190831_e,ARGUMENT_RANGE_MAX,2,
field_190832_f,ARGUMENT_RANGE_MIN,2,
field_190833_g,ARGUMENT_LEVEL_MAX,2,
field_190834_h,ARGUMENT_LEVEL_MIN,2,
field_190835_i,ARGUMENT_COORDINATE_X,2,
field_190836_j,ARGUMENT_COORDINATE_Y,2,
field_190837_k,ARGUMENT_COORDINATE_Z,2,
field_190838_l,ARGUMENT_DELTA_X,2,
field_190839_m,ARGUMENT_DELTA_Y,2,
field_190840_n,ARGUMENT_DELTA_Z,2,
field_190841_o,ARGUMENT_ROTX_MAX,2,
field_190842_p,ARGUMENT_ROTX_MIN,2,
field_190843_q,ARGUMENT_ROTY_MAX,2,
field_190844_r,ARGUMENT_ROTY_MIN,2,
field_190845_s,ARGUMENT_COUNT,2,
field_190846_t,ARGUMENT_MODE,2,
field_190847_u,ARGUMENT_TEAM_NAME,2,
field_190848_v,ARGUMENT_PLAYER_NAME,2,
field_190849_w,ARGUMENT_ENTITY_TYPE,2,
field_190850_x,ARGUMENT_ENTITY_TAG,2,
field_190851_y,IS_VALID_ARGUMENT,2,
field_179666_d,WORLD_BINDING_ARGS,2,
field_190807_a,field_190807_a,2,
field_190808_b,field_190808_b,2,
field_190809_c,field_190809_c,2,
field_190810_d,field_190810_d,2,
field_190811_e,field_190811_e,2,
field_190807_a,field_190807_a,2,
field_190808_b,field_190808_b,2,
field_190809_c,field_190809_c,2,
field_190810_d,field_190810_d,2,
